species,tssr_BIC
ALFL,TRUE
AMCR,TRUE
AMGO,FALSE
AMPI,FALSE
AMRE,TRUE
AMRO,TRUE
ATSP,TRUE
ATTW,FALSE
BANS,FALSE
BAOR,FALSE
BARS,FALSE
BAWW,FALSE
BBCU,FALSE
BBMA,TRUE
BBWA,TRUE
BBWO,FALSE
BCCH,FALSE
BEKI,FALSE
BGGN,FALSE
BHCO,FALSE
BHVI,FALSE
BLBW,FALSE
BLJA,TRUE
BLPW,FALSE
BOBO,FALSE
BOCH,FALSE
BOWA,FALSE
BRBL,TRUE
BRCR,FALSE
BRTH,FALSE
BTBW,FALSE
BTNW,FALSE
BWWA,FALSE
CAWA,TRUE
CCSP,TRUE
CEDW,FALSE
CHSP,TRUE
CLSW,TRUE
CMWA,TRUE
COGR,FALSE
CONW,FALSE
CORA,TRUE
COYE,TRUE
CSWA,FALSE
DEJU,TRUE
DOWO,FALSE
DUFL,FALSE
DUNL,FALSE
EABL,TRUE
EAKI,FALSE
EAPH,FALSE
EATO,FALSE
EAWP,TRUE
EUST,FALSE
EVGR,TRUE
FISP,FALSE
FOSP,TRUE
GCFL,FALSE
GCKI,TRUE
GCSP,FALSE
GCTH,FALSE
GRAJ,FALSE
GRCA,FALSE
GRSP,FALSE
GRYE,FALSE
GWWA,FALSE
HAFL,FALSE
HAWO,FALSE
HETH,TRUE
HOLA,TRUE
HOSP,FALSE
HOWR,TRUE
INBU,FALSE
KILL,FALSE
LALO,FALSE
LCSP,TRUE
LEFL,TRUE
LEYE,TRUE
LISP,TRUE
MAWA,TRUE
MAWR,TRUE
MOBL,FALSE
MODO,TRUE
MOWA,TRUE
NAWA,TRUE
NESP,TRUE
NOCA,TRUE
NOFL,FALSE
NOPA,FALSE
NOWA,TRUE
OCWA,TRUE
OSFL,FALSE
OVEN,TRUE
PAWA,TRUE
PHVI,TRUE
PIGR,FALSE
PISI,TRUE
PIWA,TRUE
PIWO,FALSE
PUFI,TRUE
RBGR,FALSE
RBNU,FALSE
RBWO,FALSE
RCKI,TRUE
RECR,FALSE
REVI,TRUE
RHWO,FALSE
ROPI,FALSE
ROSA,FALSE
RTHU,FALSE
RUBL,FALSE
RUGR,FALSE
RWBL,TRUE
SAVS,TRUE
SCTA,FALSE
SEWR,TRUE
SOGR,FALSE
SOSA,FALSE
SOSP,FALSE
SPGR,FALSE
SPSA,FALSE
SWSP,TRUE
SWTH,TRUE
TEWA,TRUE
TOSO,FALSE
TOWA,FALSE
TRES,TRUE
UPSA,FALSE
VATH,TRUE
VEER,TRUE
VESP,TRUE
WAVI,FALSE
WBNU,FALSE
WCSP,FALSE
WETA,FALSE
WEWP,FALSE
WIPT,FALSE
WISN,TRUE
WITU,FALSE
WIWA,FALSE
WIWR,TRUE
WOTH,FALSE
WTSP,TRUE
WWCR,TRUE
YBCU,FALSE
YBFL,FALSE
YBSA,TRUE
YEWA,TRUE
YHBL,FALSE
YRWA,TRUE
YTVI,FALSE
